Original_Title,Year_Of_Release,Runtime,Genres,Imdb_Rating,Imdb_Votes,Actors
Kesari,2019,150,Action|Drama|History,7.4,10653,Akshay Kumar|Parineeti Chopra|Suvinder Vicky|Vansh Bhardwaj|Sumeet Basran|Ajit Singh|Sandeep Nahar|Harwinder Singh Aujla|Rakesh Sharma|Adhrit Sharma|Vivek Saini|Harbhagwan Singh|Rajdeep Singh Dhaliwal|Gurpreet Toti|
Notebook,2019,115,Drama|Romance,6.8,1335,Zaheer Iqbal|Pranutan Bahl|Mir Mohammed Mehroos|Mir Mohammed Zayan|Soliha Maqbool|Baba Hatim|Adiba Bhat|Hafsa Ashraf|Madikha|Bareen|Mozim Bhat|Mir Sarwar|Hemant Kher|Shrysh Zutshi|
Junglee,2019,115,Action|Adventure,5.3,1064,Vidyut Jammwal|Lars Kjeldsen|
Gone Kesh,2019,110,Drama,7.1,178,Deepika Amin|Kumar Kanchan Ghosh|Brijendra Kala|Jitendra Kumar|Mukesh Pandey|Santosh Rai|Vipin Sharma|
Albert Pinto Ko Gussa Kyun Aata Hai?,2019,100,Drama,4.8,56,Manav Kaul|Nandita Das|
The Tashkent Files,2019,134,Drama|Mystery|Thriller,8,5524,Naseeruddin Shah|Mithun Chakraborty|Shweta Basu Prasad|Pankaj Tripathi|Vinay Pathak|Mandira Bedi|Rajesh Sharma|Prakash Belawadi|Ankur Rathee|
Kalank,2019,166,Drama|Romance,3.6,9106,Varun Dhawan|Alia Bhatt|Aditya Roy Kapoor|Madhuri Dixit|Sonakshi Sinha|Sanjay Dutt|Kunal Khemu|Pawan Chopra|
Setters,2019,126,Thriller,5.1,158,Shreyas Talpade|Aftab Shivdasani|Sonnalli Seygall|Ishita Dutta|Pavan Malhotra|Vijay Raaz|Manu Rishi Chadha|Anil Charanjeett|Pankaj Jha|Jameel Khan|Niharika Kundu|Tanuka Laghate|Venus Singh|Neeraj Sood|
Student of the Year 2,2019,146,Drama|Romance|Sport,2.5,12671,Tiger Shroff|Ananya Panday|Tara Sutaria|Aditya Seal|Manoj Pahwa|Ayesha Raza|Rajesh Kumar|Manasi Joshi Roy|Samir Soni|Gul Panag|Manjot Singh|Sahil Anand|Harsh Beniwal|Daljeet Singh Gujral|
PM Narendra Modi,2019,136,Biography|Drama,3.3,4484,Boman Irani|Vivek Oberoi|Barkha Bisht|Darshan Kumaar|Zarina Wahab|Manoj Joshi|Suresh Oberoi|Prashant Narayanan|Yatin Karyekar|Rajendra Gupta|Anjan Srivastav|Imran Hasnee|Jay Bhatt|Akshat R Saluja|
De De Pyaar De,2019,135,Comedy|Romance,6.6,5387,Ajay Devgn|Tabu|Rakul Preet Singh|Jimmy Sheirgill|Alok Nath|Madhumalti Kapoor|Harry Anton|Gergo Baranyi|Sammy John Heaney|Bhavin Bhanushali|Gandharv Dewan|Gulnaaz Khan|Kumud Mishra|Sunny Singh Nijjar|
India's Most Wanted,2019,123,Action|Thriller,4.4,1449,Arjun Kapoor|Sudev Nair|Rajesh Sharma|Prasanth|Santilal Mukherjee|
Yeh Hai India,2017,128,Action|Adventure|Drama,5.7,169,Gavie Chahal|Mohan Agashe|Mohan Joshi|Lom Harsh|
Khamoshi,2019,96,Horror|Thriller,3.7,153,Prabhu Deva|Tamannaah Bhatia|Bhoomika Chawla|
Kabir Singh,2019,173,Drama|Romance,7.2,20535,Shahid Kapoor|Kiara Advani|Soham Majumdar|Arjan Bajwa|Suresh Oberoi|Kamini Kaushal|Adil Hussain|Nikita Dutta|Amit Sharma|Anurag Arora|Dolly Mattoo|Aanchal Chauhan|Suparna Marwah|Swati Seth|
Article 15,2019,130,Crime|Drama,8.3,13417,Ayushmann Khurrana|Nassar|Manoj Pahwa|Kumud Mishra|Isha Talwar|Sayani Gupta|Mohammed Zeeshan Ayyub|Subhrajyoti Barat|Sushil Pandey|Aakash Dabhade|Ashish Verma|Ronjini Chakraborty|Veen|Sumbul Touqueer|
One Day: Justice Delivered,2019,124,Action|Crime|Thriller,6.8,590,Anupam Kher|Kumud Mishra|Esha Gupta|Zakir Hussain|Rajesh Sharma|Murli Sharma|Deepshika Nagpal|
Hume Tumse Pyaar Kitna,2019,91,Action|Drama|Romance,7.4,85,Karanvir Bohra|Priya Banerjee|
Super 30,2019,154,Biography|Drama,8.2,13972,Hrithik Roshan|Mrunal Thakur|Nandish Singh|Virendra Saxena|Sadhana Singh|Aditya Srivastava|Sanket Deshpande|Pankaj Tripathi|Vaibhav Gupta|Ali Haji|Rajesh Sharma|Deepali Kumar|Chittaranjan Giri|Ganesh Kumar|
Family of Thakurganj,2019,127,Action|Drama,9.4,895,Jimmy Sheirgill|Mahie Gill|Nandish Singh|Pranati Rai Prakash|Saurabh Shukla|Sudhir Pandey|Supriya Pilgaonkar|Pavan Malhotra|Yashpal Sharma|Mukesh Tiwari|Raj Zutshi|Salil Acharya|Shivika Rishi|Lokesh Tilakdhari|
Batla House,2019,146,Action|Drama|Thriller,7.3,5556,John Abraham|Nora Fatehi|Mrunal Thakur|Rajesh Sharma|Ravi Kishan|Sonam Arora|Sahidur Rahaman|Manish Chaudhary|Anil Rastogi|Kranti Prakash Jha|Amruta Sant|Anil Khopkar|Aditi Gulati|Jitendra Trehan|
Jhootha Kahin Ka,2019,133,Comedy,4.8,215,Rishi Kapoor|Jimmy Sheirgill|Sunny Singh Nijjar|Omkar Kapoor|Nimisha Mehta|Rucha Vaidya|Manoj Joshi|Lillete Dubey|Rajesh Sharma|Gurbachan Singh|Rakesh Bedi|Neelu Kohli|Shobha Singh|Sunny Leone|
Judgementall Hai Kya,2019,121,Comedy|Drama|Thriller,6,3269,Kangana Ranaut|Rajkummar Rao|Amyra Dastur|Amrita Puri|Jimmy Sheirgill|
Chicken Curry Law,2019,127,Drama,6,19,Natalia Janoszek|Ashutosh Rana|Makrand Deshpande|Nivedita Bhattacharya|Mukesh Hariawala|Zakir Hussain|Aman Verma|
Arjun Patiala,2019,107,Action|Comedy,4.1,676,Diljit Dosanjh|Kriti Sanon|Varun Sharma|Ronit Roy|Seema Bhargava|Mohammed Zeeshan Ayyub|Amit Mehra|
Jabariya Jodi,2019,125,Action|Comedy|Drama,4.2,767,Sidharth Malhotra|Parineeti Chopra|Javed Jaffrey|Sanjay Mishra|Aparshakti Khurana|
Pranaam,2019,0,Action|Crime|Drama,7,43,Rajeev Khandelwal|Atul Kulkarni|Abhimanyu Singh|Sameksha|Vikram Gokhale|Aniruddh Dave|Apoorva Arora|S.M. Zaheer|
The Sky Is Pink,2019,143,Drama|Family|Romance,6.6,1659,Zaira Wasim|Priyanka Chopra|Farhan Akhtar|Rohit Saraf|
Mission Mangal,2019,130,Drama|History,6.5,7165,Akshay Kumar|Vidya Balan|Nithya Menon|Taapsee Pannu|Sonakshi Sinha|Kirti Kulhari|H.G. Dattatreya|Sharman Joshi|Sanjay Kapoor|Dalip Tahil|Vikram Gokhale|Mohammed Zeeshan Ayyub|Purab Kohli|
Saaho,2019,170,Action|Thriller,5.5,12049,Jacqueline Fernandez|Shraddha Kapoor|Prabhas|Jackie Shroff|Mandira Bedi|Neil Nitin Mukesh|Chunky Pandey|Arun Vijay|Mahesh Manjrekar|Evelyn Sharma|Tinnu Anand|Michael Segal|Philip Fornah|Vennela Kishore|
Dream Girl,2019,132,Comedy|Romance,7.5,4077,Ayushmann Khurrana|Nushrat Bharucha|Annu Kapoor|Raj Bhansali|Manjot Singh|
Section 375,2019,124,Crime|Drama,8.4,1841,Akshaye Khanna|Richa Chadha|Meera Chopra|Rahul Bhat|Shriswara|Kishore Kadam|Kruttika Desai|Sandhya Mridul|Shrikant Yadav|Vibhawari Deshpande|Shama Nivane|Rajendra Shisatkar|Annuup Choudhari|Shahnaaz Deshpande|
The Zoya Factor,2019,134,Comedy|Drama|Romance,4.1,683,Sonam Kapoor|Dulquer Salmaan|Sanjay Kapoor|
Pal Pal Dil Ke Paas,2019,154,Action|Drama|Romance,4.6,562,Karan Deol|Sahher Bambba|Simone Singh|Sachin Khedekar|
Prassthanam,2019,141,Action|Drama,6,272,Sanjay Dutt|Jackie Shroff|Ali Fazal|Manisha Koirala|Chunky Pandey|Satyajeet Dubey|Amyra Dastur|
P Se Pyaar F Se Faraar,2019,131,Crime|Drama|Romance,7.8,777,Bhavesh Kumar|Jimmy Sheirgill|Kumud Mishra|Sanjay Mishra|Girish Kulkarni|Zakir Hussain|Brijendra Kala|Akhilendra Mishra|Asif Basra|Neha Joshi|
Ghost,2019,130,Horror|Thriller,8.7,1379,Sanaya Irani|Shivam Bhaargava|Vikram Bhatt|Ameet Chana|Ananya Sengupta|Caroline Wilde|Monisha Hassen|
Bala,2019,133,Comedy,8.2,1369,Ayushmann Khurrana|Bhumi Pednekar|Yami Gautam|Javed Jaffrey|Saurabh Shukla|Sunita Rajwar|Seema Bhargava|Abhishek Banerjee|Deepika Chikhalia|Manoj Pahwa|Sachin Chaudhary|
#Yaaram,2019,0,Comedy|Romance,5.7,7,Siddhanth Kapoor|Prateik|Anita Raj|Ishita Raj|Subha Rajput|Natasha Stankovic|
Housefull 4,2019,145,Action|Comedy|Fantasy,3.3,4572,Akshay Kumar|Riteish Deshmukh|Bobby Deol|Kriti Sanon|Pooja Hegde|Kriti Kharbanda|Rana Daggubati|Sammy John Heaney|Sharad Kelkar|Aakash Dabhade|Chunky Pandey|Ranjeet|Johnny Lever|Saurabh Sachdeva|
Saand Ki Aankh,2019,146,Biography|Drama,8.9,1902,Taapsee Pannu|Bhumi Pednekar|Prakash Jha|Viineet Kumar|Pawan Chopra|
Made in China,2019,128,Comedy|Drama,6.3,596,Rajkummar Rao|Mouni Roy|Boman Irani|Paresh Rawal|Gajraj Rao|Sumeet Vyas|Amyra Dastur|
Ujda Chaman,2019,120,Comedy,8.1,1440,Sunny Singh Nijjar|Maanvi Gagroo|Saurabh Shukla|Atul Kumar|Grusha Kapoor|Gagan Arora|Karishma Sharma|
Bypass Road,2019,137,Drama|Thriller,7.1,51,Neil Nitin Mukesh|Adah Sharma|Gul Panag|Taher Shabbir|Shama Sikander|Manish Chaudhary|Rajit Kapoor|
Satellite Shankar,2019,135,Action|Drama,4.6,34,Suraj Pancholi|Anil Reji|
Jhalki,2019,104,Drama,7.2,665,Boman Irani|Tannishtha Chatterjee|Divya Dutta|Sanjay Suri|Akhilendra Mishra|Govind Namdeo|Yatin Karyekar|Joy Sengupta|Sailesh Dubey|Bachan Pachehra|Sanchita Goswami|Goraksha Sakpal|Vikram Singh|Aarti Jha|
Marjaavaan,2019,152,Action|Romance,3.6,3100,Riteish Deshmukh|Sidharth Malhotra|Tara Sutaria|Rakul Preet Singh|
Motichoor Chaknachoor,2019,150,Comedy|Romance,5.8,2400,Nawazuddin Siddiqui|Athiya Shetty|Vibha Chhibber|Sanjeev Vatsa|Bhumika Dube|Devansh Kumar|
Keep Safe Distance,2019,128,Action|Thriller,0,0,Shahbaaz Khan|Adi Irani|Vikas Anand|Kiran Kumar|Anil Nagrath|Sagarika Neha|Laxman Singh Rajput|Pradeep Kabra|Shilpa Gandhi|Jai Yadav|Abhishek Khanna|Vishnu Dhanraj Sharma|
Pagalpanti,2019,149,Action|Comedy,3.1,2100,Kriti Kharbanda|John Abraham|Ileana D'Cruz|Anil Kapoor|Urvashi Rautela|Jamie-Lee Beacher|Atul Sharma|Saurabh Shukla|Arshad Warsi|Sammy John Heaney|Vaunisha Kapoor|Pulkit Samrat|Simran Kaur|Manoj Anand|
Ramprasad Ki Tehrvi,2019,115,Comedy|Drama,7.6,3400,Naseeruddin Shah|Vikrant Massey|Konkona Sen Sharma|Vinay Pathak|Manoj Pahwa|Parambrata Chattopadhyay|Supriya Pathak|Deepika Amin|Vineet Kumar|Sarika Singh|
Yeh Saali Aashiqui,2019,137,Thriller,7.9,3200,Vardhan Puri|Jessey Lever|
Dil Bechara,2019,101,Drama|Romance,6.6,117000,Sushant Singh Rajput|Sanjana Sanghi|Sahil Vaid|
Pati Patni Aur Woh,2019,126,Comedy|Romance,5.7,6100,Kartik Aaryan|Bhumi Pednekar|Ananya Panday|Aparshakti Khurana|
Commando 3,2019,133,Action|Thriller,5.7,2400,Vidyut Jammwal|Adah Sharma|Angira Dhar|Sumeet Thakur|Mark Bennington|Simran Kaur|Atharva Vishwakarma|Abhilash Chaudhary|Feryna Wazheir|
Mardaani 2,2019,103,Action|Drama|Thriller,7.4,8100,Rani Mukerji|Rajesh Sharma|Shruti Bapna|
Dabangg 3,2019,160,Action,3,15000,Salman Khan|Sonakshi Sinha|Sudeep|Mahesh Manjrekar|Ashwami Manjrekar|Nawab Shah|Arbaaz Khan|Abhilash Chaudhary|Saiee Manjrekar|Pramod Khanna|Rajiv Kachroo|Resh Lamba|Manjit Singh|
Good Newwz,2019,134,Comedy|Drama|Romance,6.9,16000,Akshay Kumar|Kareena Kapoor|Kiara Advani|Tisca Chopra|Gulshan Grover|Diljit Dosanjh|Tanmay Dhanania|Anjana Sukhani|Yukta Mookhey|Auritra Ghosh|Preeti Kochar|
Kaalakaandi,2018,112,Comedy|Thriller,6.2,1978,Saif Ali Khan|
Vodka Diaries,2018,120,Mystery|Thriller,5.6,959,Kay Kay Menon|Raima Sen|Mandira Bedi|Sharib Hashmi|Rishi Bhutani|Herry Tangiri|Vaishnavi Dhanraj|Swati Rajput|Antara Srivastava|Rahul Kapoor|Suraj Thapar|Vikram Sakhalkar|
My Birthday Song,2018,95,Thriller,5.5,215,Nora Fatehi|Elena Kazan|Suparna Krishna|Pitobash|Sameer Sharma|Zenia Starr|
Nirdosh,2018,110,Drama|Mystery|Thriller,3.8,108,Ashmit Patel|Manjari Fadnnis|Manisha Kelkar|Akash Sinha|Geetanjali Mishra|Astad Kale|Rajkumar Kanojia|Shilpa Kadam|Feroz Bhagat|Dinesh Lamba|Salman Shaikh|Yusuf Hussain|Premnath Gulati|Himanshu Manek|
Mukkabaaz,2017,154,Action|Drama|Sport,8.1,5434,Viineet Kumar|Jimmy Sheirgill|Zoya Hussain|Ravi Kishan|Rajesh Tailang|Shreedhar Dubey|Sadhana Singh|Shakti Kumar|Chittaranjan Tripathy|Sukhesh Mishra|Shikha Chauhan|Abhay Joshi|Nawazuddin Siddiqui|
Union Leader,2017,106,Drama,7.6,1503,Rahul Bhat|Tillotama Shome|
Love Per Square Foot,2018,133,Comedy|Romance,7.2,6248,Vicky Kaushal|Angira Dhar|Alankrita Sahai|Raghuvir Yadav|Ratna Pathak Shah|Supriya Pathak|Brijendra Kala|Rekha Bhardwaj|Kunaal Roy Kapur|Arunoday Singh|Deepal Doshi|Raviza Chauhan|Ranbir Kapoor|Asif Ali Beg|
Aiyaary,2018,157,Action|Thriller,5.2,3538,Sidharth Malhotra|Manoj Bajpayee|Rakul Preet Singh|Pooja Chopra|Adil Hussain|Kumud Mishra|Naseeruddin Shah|Anupam Kher|Vikram Gokhale|Juhi Babbar|Nivedita Bhattacharya|Rajesh Tailang|Lushin Dubey|Ajit Bhure|
Padmaavat,2018,164,Drama|History|Romance,7,24550,Deepika Padukone|Ranveer Singh|Shahid Kapoor|Aditi Rao Hydari|Jim Sarbh|Anupriya Goenka|Raza Murad|Ujjwal Chopra|Komal Chhabria|Lankesh Bhardwaj|Bhawani Muzamil|Hriiday Malhotra|Deepak Shreemali|Manish Wadhwa|
Kuchh Bheege Alfaaz,2018,116,Romance,7.5,578,Geetanjali Thapa|Zain Khan Durrani|Shray Rai Tiwari|Mona Ambegaonkar|Saheb Bhattacharjee|Chandrayee Ghosh|Saurav Das|Debopriya|Sahil Agarwal|Shefali Chauhan|Soumya Mukherjee|Shankhu Karmakar|Udai Shankar|Moumita|
Jaane kyun de yaaron,2018,131,Drama,4.4,25,Akshay Anand|Kabir Bedi|Hitesh Bhardwaj|Abhay Bhargav|Ravi Raj Kande|Viju Khote|Usha Nadkarni|Chetna Pande|Daya Shankar Pandey|Raghu Raja|Abhishek Sharma|Vikram Singh|Yashwant Singh|
Veerey Ki Wedding,2018,131,Comedy|Romance,2.8,380,Pulkit Samrat|Jimmy Sheirgill|Kriti Kharbanda|Satish Kaushik|Supriya Karnik|Yuvika Chaudhry|Payal Rajput|Rajesh Bakshi|Abhishek Duhan|Sumeet Samnani|Micky Makhija|Chandan Bakshi|Nishi Singh|Vidyadhar Karmakar|
Sonu Ke Titu Ki Sweety,2018,138,Comedy|Romance,7.1,17378,Kartik Aaryan|Nushrat Bharucha|Sunny Singh Nijjar|Alok Nath|Madhumalti Kapoor|Ishita Raj|Pawan Chopra|Ayesha Raza|Deepika Amin|Rajesh Jais|Virendra Saxena|
Hate Story IV,2018,131,Crime|Drama|Thriller,3.3,1203,Lee Byford|Urvashi Rautela|Gulshan Grover|Vaunisha Kapoor|Lee Nicholas Harris|Ty Hurley|Komal Chhabria|Shaad Randhawa|Atul Sharma|Manoj Anand|Daniel Eghan|Tia Bajpai|Vivan Bhatena|Swaylee Loughnane|
Dil Juunglee,2018,124,Comedy|Romance,4,289,Taapsee Pannu|Saqib Saleem|Nidhi Singh|Srishti Shrivastava|Ayesha Kaduskar|Abhilash Thapliyal|Santosh Barmola|
3 Storeys,2018,100,Drama,7.1,288,Aisha Ahmed|Tarun Anand|Richa Chadha|Gopal Das|Mallhar Goenka|Sharman Joshi|Saunskruti Kher|Omkar Kulkarni|Masumeh Makhija|Himanshu Malik|Himmat Mav|Ankit Rathi|Pulkit Samrat|Renuka Shahane|
Raid,2018,122,Action|Crime|Drama,7.4,13159,Ajay Devgn|Saurabh Shukla|Ileana D'Cruz|Amit Sial|
Hichki,2018,116,Comedy|Drama,7.5,8129,Rani Mukerji|Sachin|Neeraj Kabi|Rohit Saraf|Jannat Zubair Rahmani|Harsh Mayar|Vikram Gokhale|Leena Acharya|Supriya Pilgaonkar|Ivan Rodrigues|Shivkumar Subramaniam|Asif Basra|Hussain Dalal|Riya Shukla|
Missing,2018,120,Drama|Mystery|Thriller,5.7,1642,Manoj Bajpayee|Tabu|Annu Kapoor|Rajesh Jais|Naveen Kaushik|Kali Prasad Mukherjee|Priyanka Setia|Jaswinder Gardner|Shruti Chandana|Ashu Sharma|V.M. Badola|Sudeep Sarangi|
Baaghi 2,2018,137,Action|Thriller,5,7657,Tiger Shroff|Disha Patani|Manoj Bajpayee|Randeep Hooda|Deepak Dobriyal|Prateik|Darshan Kumaar|
October,2018,115,Drama|Romance,7.5,11125,Varun Dhawan|Banita Sandhu|Gitanjali Rao|Sahil Vedoliyaa|Isha Chaturvedi|Prateek Kapoor|Iteeva Pandey|Karamveer Kanwar|Ashish Ghosh|Rachica Oswal|
Mercury,2018,106,Horror|Thriller,6.2,774,Prabhu Deva|Gajaraj|Ramya Nambeeshan|Indhuja Ravichandran|
Beyond the Clouds,2017,120,Drama|Family,6.9,1611,Ishaan Khattar|Malavika Mohanan|Goutam Ghose|Sharada|Tannishtha Chatterjee|Shashank Shende|Hema Singh|Akash Gopal|Dhwani Rajesh|Amruta Santosh Thakur|Shivam Pujari|
Nanu Ki Jaanu,2018,133,Comedy|Drama|Horror,6.2,853,Abhay Deol|Patralekhaa Paul|Rajesh Sharma|Himani Shivpuri|Manu Rishi Chadha|Brijendra Kala|Shefali Rana|Sapna Choudhary|Shreya Narayan|Manoj Pahwa|Gurmeet Singh|Mahendra Shrivas|Reshma Khan|Spandan Chaturvedi|
Daas Dev,2018,140,Drama|Thriller,5.1,205,Yogesh Raj Mishra|
Omerta,2017,98,Action|Biography|Crime,7,660,Rajkummar Rao|Rajesh Tailang|Satwant Kaur|
Raazi,2018,138,Action|Drama|Thriller,7.8,20289,Alia Bhatt|Vicky Kaushal|Rajit Kapoor|Shishir Sharma|Ashwath Bhatt|Jaideep Ahlawat|Arif Zakaria|Amruta Khanvilkar|Kanwaljit Singh|Aman Vasishth|Veer Samra|Saloni|Deepak Saini|Sima Pari|
Hope Aur Hum,2018,96,Comedy|Drama|Family,6.4,289,Naseeruddin Shah|Kabir Sajid|Virti Vaghani|Sonali Kulkarni|Aamir Bashir|Naveen Kasturia|Beena Banerjee|Neha Chauhan|Tina Sood|Pawan Mahendru|Purushotam Mulani|Deepak Kripalani|Abhishek G. Dixit|Santosh Patil|
High Jack,2018,102,Comedy,5.2,252,Sumeet Vyas|Mantra Mugdh|Sonnalli Seygall|
Khajoor Pe Atke,2018,119,Comedy,5.6,182,Vinay Pathak|Suneeta Sengupta|Alka Amin|Manoj Pahwa|
Parmanu: The Story of Pokhran,2018,129,Action|Drama|History,7.7,18292,John Abraham|Boman Irani|Diana Penty|Anuja Sathe|Vikas Kumar|Yogendra Tiku|Aditya Hitkari|Ajay Shankar|Darshan Pandya|Mark Bennington|
Bioscopewala,2018,91,Drama,7.7,718,Danny Denzongpa|Geetanjali Thapa|Adil Hussain|Tisca Chopra|Brijendra Kala|Ekavali Khanna|Maya Sarao|Miraya Suri|Prisha Dabbas|Sahra Khan Sahibi|Simon Frenay|Shashi Bhushan|Subroto Sarkar|Sumit Sarkar|
Bhavesh Joshi Superhero,2018,154,Action|Drama,7.6,4928,Harshvardhan Kapoor|Priyanshu Painyuli|Ashish Verma|Shreiyah Sabharwal|Pratap Phad|Chinmay Mandlekar|Nishikant Kamat|Ram Kishan Dhakad|Hrishikesh Joshi|
Phamous,2018,115,Comedy|Crime|Drama,3.7,207,Jimmy Sheirgill|Shriya Saran|Kay Kay Menon|Pankaj Tripathi|Jackie Shroff|Mahie Gill|Brijendra Kala|Achyut Potdar|Deep Raj Rana|Jameel Khan|Samvedna Suwalka|Karan Patel|Padmavati Rao|Satyadeep Misra|
Race 3,2018,160,Action|Thriller,2,30038,Anil Kapoor|Salman Khan|Bobby Deol|Jacqueline Fernandez|Daisy Shah|Saqib Saleem|Freddy Daruwala|
